Category,Phrase,RiskScore
Schedule & Workload,Another late night at the office,1
Schedule & Workload,Just got off a 12-hour shift,3
Schedule & Workload,Can’t keep up with the deadlines,1
Schedule & Workload,Back-to-back meetings again,5
Schedule & Workload,No time to breathe lately,2
Schedule & Workload,Overloaded with work,2
Schedule & Workload,Drowning in tasks,5
Schedule & Workload,So much for lunch breaks,1
Schedule & Workload,Weekend plans = working again,3
Schedule & Workload,Work never ends,2
Schedule & Workload,Feeling exhausted from work,4
Schedule & Workload,Too much on my plate,4
Schedule & Workload,I need a break from this chaos,3
Schedule & Workload,Just pulled another all-nighter,4
Schedule & Workload,Why do I have 3 jobs in 1?,2
Schedule & Workload,Burnout is real,4
Schedule & Workload,This workload is insane,3
Schedule & Workload,Not enough hours in the day,3
Schedule & Workload,Endless Zoom calls,4
Schedule & Workload,I’m not a robot,3
Schedule & Workload,Overtime with no extra pay,2
Schedule & Workload,This isn’t sustainable,1
Schedule & Workload,No downtime anymore,1
Schedule & Workload,Feeling overwhelmed at work,5
Schedule & Workload,Need better task management,2
Schedule & Workload,Too much micromanagement,4
Schedule & Workload,Unrealistic expectations,2
Money & Compensation,Still waiting on that raise,4
Money & Compensation,They underpay us here,2
Money & Compensation,Not worth the paycheck,3
Money & Compensation,Thinking about freelancing,4
Money & Compensation,Gotta start a side hustle,2
Money & Compensation,This job doesn’t pay the bills,5
Money & Compensation,Can’t survive on this salary,4
Money & Compensation,No bonuses this year,4
Money & Compensation,They say ‘budget cuts’ again,1
Money & Compensation,Rent is more than my paycheck,5
Money & Compensation,How do people live off this?,3
Money & Compensation,Financial stress is real,3
Money & Compensation,Time to look for a higher paying job,1
Money & Compensation,Tired of living paycheck to paycheck,1
Money & Compensation,"They expect more, pay less",1
Money & Compensation,No cost of living adjustment,3
Money & Compensation,Tired of being undervalued,4
Money & Compensation,Can’t afford to stay here,4
Money & Compensation,Benefits cut again,3
Money & Compensation,"No merit increase, again",2
Money & Compensation,They said raises are frozen,4
Money & Compensation,Where’s the appreciation?,1
Money & Compensation,My side gig makes more,2
Money & Compensation,Gotta pick up weekend work,5
Money & Compensation,Not feeling compensated fairly,2
Money & Compensation,"New job, better pay?",2
Money & Compensation,This raise is a joke,5
Money & Compensation,Why am I still here?,1
Job Satisfaction,Hate Mondays,2
Job Satisfaction,Just here for the check,1
Job Satisfaction,Love what I do,5
Job Satisfaction,Feeling stuck in my role,1
Job Satisfaction,Another pointless meeting,5
Job Satisfaction,This place is toxic,1
